w,c1,c2,match_rate,num_matches,total_structures,avg_rmsd,std_rmsd,median_rmsd,avg_energy_diff,std_energy_diff,median_energy_diff
0.5,1.2,1.2,1.0,5,5,1.5218602624883915,1.3893479272659726,1.6719939861527262,0.22572021,0.2579811,0.19866943
0.5,1.5,1.2,1.0,5,5,1.728806367578135,1.2459183981359283,1.4335727695779688,0.20192337,0.21959443,0.1846466
0.5,1.0,1.5,0.8,4,5,1.038630371855311,1.4811330955407624,0.00048641352405941814,1.0462372,1.5195063,0.22298622
0.5,0.7,1.5,0.8,4,5,1.0972534768166422,1.5182704720867937,0.005449528786764657,2.0271783,3.455531,0.22298622
0.5,0.7,0.9,0.8,4,5,1.1514382538082966,1.2355325801574082,0.9967470604853875,0.89572257,1.2299445,0.22298813
0.5,1.0,0.9,0.8,4,5,1.4144660883699056,1.7020735224082713,0.8991403497248527,0.978841,1.3896738,0.22299194
0.5,1.5,0.9,0.8,4,5,1.4940914993316312,1.4959608416473613,1.2188690327931897,1.3343403,2.266924,0.2229805
0.7,1.0,1.2,0.8,4,5,1.6550095802161153,1.6947419460535291,1.1324594680624729,1.3973744,2.2169201,0.20350647
0.5,1.5,1.5,0.8,4,5,1.7003000596277382,1.4994825100045044,1.8746102083859213,0.8002327,1.2130238,0.21321678
0.5,1.2,1.8,0.8,4,5,1.715268786436694,1.5752805105901615,1.5591665115533457,0.34553605,0.3844781,0.1939106
0.7,1.5,0.9,0.8,4,5,1.8227055620263861,1.2519042223579884,2.012155470644126,0.24793816,0.2607337,0.20708847
0.5,1.2,0.9,0.8,4,5,1.8402963263577157,1.4898735259855855,1.5424456550484014,0.95531845,1.5298593,0.22260284
0.5,0.7,1.2,0.8,4,5,1.884792125316301,1.401654254583584,1.524103495601422,0.27599257,0.25998187,0.22299194
0.7,0.7,0.9,0.8,4,5,1.9642863428024255,1.3572930558184135,2.465857320678991,0.16072655,0.1389848,0.21873093
0.7,0.7,1.2,0.8,4,5,2.030201511446564,3.058168471160164,0.0034320091171554335,0.40865707,0.42751923,0.20501518
0.5,1.0,1.8,0.8,4,5,2.0563443134687995,1.296602031602286,2.4502181186804544,0.1774849,0.22670405,0.06272888
0.7,1.0,0.9,0.8,4,5,2.0666952563975394,1.742222910231326,2.8379527133637037,0.52551115,0.68648446,0.20059776
0.7,1.5,1.5,0.8,4,5,2.091742956074873,1.9769256052655115,1.7138467123930026,0.35660973,0.3888207,0.19789696
0.7,1.2,1.2,0.8,4,5,2.2074437032298997,2.06479002031846,1.903650788958181,0.3492157,0.38654974,0.19162178
0.7,1.2,1.8,0.8,4,5,2.278333344657411,2.086119606156633,2.8663571248396242,3.5327454,6.9567585,0.0041885376
0.7,1.0,1.8,0.8,4,5,2.313238413353595,1.3948404020612248,2.9464004963730384,2.610532,4.6339626,0.21204758
0.5,0.7,1.8,0.8,4,5,2.399296890854359,2.988478180334158,1.0796344144763188,2.0862987,3.5790606,0.21031761
0.5,1.0,1.2,0.8,4,5,2.472790850768814,2.263368970864079,1.5512347022038324,1.6775448,2.951488,0.22298431
0.7,1.5,1.8,0.8,4,5,2.4850474711455246,2.556553991935897,2.4834935281869828,3.788327,7.183868,0.19378853
0.7,1.2,1.5,0.8,4,5,2.5423062951568736,1.6303015600784816,2.620694899786122,0.9063942,1.4268574,0.20511818
0.7,1.0,1.5,0.8,4,5,2.559605765609233,2.476828348303124,1.8416549692448827,2.148027,3.7110763,0.19306946
0.7,1.2,0.9,0.8,4,5,2.6152785066064825,1.4700673406789961,3.336117130717095,1.8135464,3.2324421,0.2024517
0.5,1.5,1.8,0.8,4,5,2.705406536479002,3.728345077603792,1.756727286838947,1.7541325,2.912798,0.2229824
0.7,1.5,1.2,0.8,4,5,2.7726160892987126,1.7981021847641891,3.2335058290815932,1.5114731,2.638164,0.18656921
0.5,1.2,1.5,0.8,4,5,2.836745514376106,2.1836751083892856,3.1097756397831517,1.3573086,2.3258073,0.19734573
0.7,0.7,1.5,0.6,3,5,2.7317475949178673,1.5952423747955384,2.6584135963805937,0.9116875,1.0346417,0.20767784
0.7,0.7,1.8,0.4,2,5,2.4924674846557053,1.5090412112870955,3.4857326530151584,1.6671963,1.8960099,0.20531082
